Player,3PA
Stephen Curry,11.7
Fred VanVleet,9.9
Donovan Mitchell,9.8
Luka Dončić,8.8
Buddy Hield,8.8
Jayson Tatum,8.6
Anthony Edwards,8.4
Malik Beasley,8.1
Terry Rozier,8.1
D'Angelo Russell,8
Trae Young,8
Duncan Robinson,7.9
Gary Trent Jr.,7.8
Evan Fournier,7.7
Jordan Clarkson,7.6
CJ McCollum,7.6
Jordan Poole,7.6
LaMelo Ball,7.5
Saddiq Bey,7.4
Devonte' Graham,7.4
Bogdan Bogdanović,7.3
Kelly Oubre Jr.,7.3
Zach LaVine,7.1
Devin Booker,7
Jaylen Brown,7
Patty Mills,7
Desmond Bane,6.9
James Harden,6.9
Bojan Bogdanović,6.8
Jalen Green,6.8
Reggie Jackson,6.8
Kevin Porter Jr.,6.8
Darius Garland,6.7
Tyler Herro,6.7
Khris Middleton,6.6
Justin Holiday,6.5
Ben McLemore,6.5
Max Strus,6.5
Kevin Love,6.4
Lauri Markkanen,6.2
Will Barton,6.1
Kyle Lowry,6.1
Cole Anthony,6
Luke Kennard,6
Grayson Allen,5.9
Cameron Johnson,5.9
Garrison Mathews,5.9
Carmelo Anthony,5.8
RJ Barrett,5.8
Miles Bridges,5.8
Reggie Bullock,5.8
Mike Conley,5.8
Seth Curry,5.8
Malik Monk,5.8
Coby White,5.8
Pat Connaughton,5.7
Cade Cunningham,5.7
Kyle Kuzma,5.7
Kevin Huerter,5.6
Andrew Wiggins,5.5
Jae Crowder,5.4
Dorian Finney-Smith,5.4
Cedi Osman,5.4
Julius Randle,5.4
Devin Vassell,5.4
Kentavious Caldwell-Pope,5.3
Keldon Johnson,5.3
Chuma Okeke,5.3
Nickeil Alexander-Walker,5.2
Bones Hyland,5.2
Tyrese Haliburton,5.1
Jaren Jackson Jr.,5.1
De'Anthony Melton,5.1
Georges Niang,5.1
Immanuel Quickley,5.1
Marcus Smart,5.1
Gary Harris,5
Lonnie Walker IV,5
Spencer Dinwiddie,4.9
Karl-Anthony Towns,4.9
Derrick White,4.9
Christian Wood,4.9
Alec Burks,4.8
Robert Covington,4.8
Jrue Holiday,4.8
Landry Shamet,4.8
Gabe Vincent,4.8
Harrison Barnes,4.7
Bobby Portis,4.7
Nicolas Batum,4.6
P.J. Washington,4.6
Danilo Gallinari,4.5
Tre Mann,4.5
Nikola Vučević,4.5
Danny Green,4.4
Caris LeVert,4.4
Maxi Kleber,4.3
Davion Mitchell,4.3
Dejounte Murray,4.3
Patrick Beverley,4.2
De'Aaron Fox,4.2
Corey Kispert,4.2
Monte Morris,4.2
Terrence Ross,4.2
Tyrese Maxey,4.1
Mo Bamba,4
Furkan Korkmaz,4
Royce O'Neale,4
Darius Bazley,3.9
Bryn Forbes,3.9
Nikola Jokić,3.9
Dennis Schröder,3.9
Ziaire Williams,3.9
Mikal Bridges,3.8
Tobias Harris,3.8
Al Horford,3.8
Josh Richardson,3.8
Amir Coffey,3.7
Joel Embiid,3.7
Jordan Nwora,3.7
Giannis Antetokounmpo,3.6
Jaden McDaniels,3.6
Cameron Payne,3.6
Oshae Brissett,3.5
Wendell Carter Jr.,3.5
Aaron Gordon,3.5
Payton Pritchard,3.5
Avery Bradley,3.4
Otto Porter Jr.,3.4
Austin Rivers,3.4
Franz Wagner,3.4
Russell Westbrook,3.4
Grant Williams,3.4
Taurean Prince,3.3
Deni Avdija,3.2
Jalen Brunson,3.2
Aleksej Pokusevski,3.2
Pascal Siakam,3.2
Moritz Wagner,3.2
Chimezie Metu,3.1
Chris Paul,3.1
Garrett Temple,3.1
Facundo Campazzo,3
Torrey Craig,3
Talen Horton-Tucker,3
Damion Lee,3
Trey Murphy III,3
Chris Boucher,2.9
R.J. Hampton,2.9
Tyus Jones,2.8
Trey Lyles,2.8
Austin Reaves,2.7
P.J. Tucker,2.7
Scottie Barnes,2.6
Jevon Carter,2.6
Josh Christopher,2.6
Terance Mann,2.6
Caleb Martin,2.6
Jaylen Nowell,2.6
Jae'Sean Tate,2.6
Cam Thomas,2.6
Killian Hayes,2.5
Ayo Dosunmu,2.4
Cory Joseph,2.4
Isaac Okoro,2.3
Obi Toppin,2.3
CJ Elleby,2.2
Jeff Green,2.2
Herbert Jones,2.2
Cody Martin,2.2
Naz Reid,2.2
Matisse Thybulle,2.2
Precious Achiuwa,2.1
Nemanja Bjelica,2.1
Jonathan Kuminga,2.1
Kenyon Martin Jr.,2.1
Jonas Valančiūnas,2.1
Troy Brown Jr.,2
Domantas Sabonis,2
DeMar DeRozan,1.9
JaMychal Green,1.9
Frank Ntilikina,1.9
Eric Paschall,1.9
John Konchar,1.8
Raul Neto,1.7
Gary Payton II,1.7
Kyle Anderson,1.6
Hamidou Diallo,1.6
Javonte Green,1.6
Aaron Holiday,1.6
Alperen Şengün,1.6
Delon Wright,1.5
James Johnson,1.4
Jordan McLaughlin,1.4
Bruce Brown,1.3
Evan Mobley,1.3
Josh Green,1.2
Juan Toscano-Anderson,1.2
Ish Smith,1
Lamar Stevens,1
