Player,ThreePointPer
Luke Kennard,0.449
Desmond Bane,0.436
Tyrese Maxey,0.427
Cameron Johnson,0.425
Lonzo Ball,0.423
Seth Curry,0.422
Doug McDermott,0.422
Norman Powell,0.419
Kyrie Irving,0.418
Josh Richardson,0.415
Bryn Forbes,0.414
Tyrese Haliburton,0.414
Eric Gordon,0.412
Payton Pritchard,0.412
Jrue Holiday,0.411
Grant Williams,0.411
Max Strus,0.41
Karl-Anthony Towns,0.41
Grayson Allen,0.409
Mike Conley,0.408
Anfernee Simons,0.405
Alec Burks,0.404
Georges Niang,0.403
Nicolas Batum,0.4
Patty Mills,0.4
Tyler Herro,0.399
Keldon Johnson,0.398
Pat Connaughton,0.395
Dorian Finney-Smith,0.395
Monte Morris,0.395
Harrison Barnes,0.394
Bobby Portis,0.393
Andrew Wiggins,0.393
Kevin Love,0.392
Gordon Hayward,0.391
Malik Monk,0.391
Avery Bradley,0.39
Kentavious Caldwell-Pope,0.39
Christian Wood,0.39
LaMelo Ball,0.389
Wayne Ellington,0.389
Evan Fournier,0.389
Kevin Huerter,0.389
Zach LaVine,0.389
Royce O'Neale,0.389
CJ McCollum,0.388
Bojan Bogdanović,0.387
Klay Thompson,0.385
Coby White,0.385
Gary Harris,0.384
Devin Booker,0.383
Kevin Durant,0.383
Darius Garland,0.383
Gary Trent Jr.,0.383
Trae Young,0.382
Mo Bamba,0.381
Danilo Gallinari,0.381
Stephen Curry,0.38
Danny Green,0.38
Amir Coffey,0.378
Robert Covington,0.378
Malik Beasley,0.377
Kyle Lowry,0.377
Fred VanVleet,0.377
Taurean Prince,0.376
Carmelo Anthony,0.375
Kevin Porter Jr.,0.375
De'Anthony Melton,0.374
Terry Rozier,0.374
Jalen Brunson,0.373
Khris Middleton,0.373
Duncan Robinson,0.372
Joel Embiid,0.371
Mikal Bridges,0.369
Chris Duarte,0.369
Bogdan Bogdanović,0.368
Landry Shamet,0.368
Gabe Vincent,0.368
Tobias Harris,0.367
Justin Holiday,0.367
Marcus Morris,0.367
Buddy Hield,0.366
Bones Hyland,0.366
Will Barton,0.365
P.J. Washington,0.365
Jordan Poole,0.364
OG Anunoby,0.363
Ben McLemore,0.362
Devin Vassell,0.361
Reggie Bullock,0.36
Tre Mann,0.36
Garrison Mathews,0.36
LeBron James,0.359
Jaylen Brown,0.358
Jerami Grant,0.358
Lauri Markkanen,0.358
Anthony Edwards,0.357
Cedi Osman,0.357
Donovan Mitchell,0.355
Paul George,0.354
Franz Wagner,0.354
Luka Dončić,0.353
Jayson Tatum,0.353
Oshae Brissett,0.35
Corey Kispert,0.35
Jae Crowder,0.348
Saddiq Bey,0.346
Immanuel Quickley,0.346
Kelly Oubre Jr.,0.345
Ja Morant,0.344
Dennis Schröder,0.344
Patrick Beverley,0.343
Jalen Green,0.343
RJ Barrett,0.342
Devonte' Graham,0.341
Kyle Kuzma,0.341
D'Angelo Russell,0.34
Spencer Dinwiddie,0.339
Cole Anthony,0.338
Nikola Jokić,0.337
Tim Hardaway Jr.,0.336
Al Horford,0.336
Aaron Gordon,0.335
Luguentz Dort,0.332
Miles Bridges,0.331
Marcus Smart,0.331
James Harden,0.33
Dejounte Murray,0.327
Reggie Jackson,0.326
Maxi Kleber,0.325
Damian Lillard,0.324
Caris LeVert,0.32
Jaren Jackson Jr.,0.319
Jordan Clarkson,0.318
Chuma Okeke,0.318
Deni Avdija,0.317
Davion Mitchell,0.316
Cade Cunningham,0.314
Nikola Vučević,0.314
Lonnie Walker IV,0.314
Derrick White,0.312
Nickeil Alexander-Walker,0.311
Frank Jackson,0.308
Julius Randle,0.308
Shai Gilgeous-Alexander,0.3
