Rank,Player,ThreePointPer,PPG
1,Luke Kennard,0.449,11.9
2,Desmond Bane,0.436,18.2
3,Tyrese Maxey,0.427,17.5
4,Cameron Johnson,0.425,12.5
5,Lonzo Ball,0.423,13
6,Seth Curry,0.422,15
7,Doug McDermott,0.422,11.3
8,Norman Powell,0.419,19
9,Kyrie Irving,0.418,27.4
10,Josh Richardson,0.415,10.2
11,Bryn Forbes,0.414,8.8
12,Tyrese Haliburton,0.414,15.3
13,Eric Gordon,0.412,13.4
14,Payton Pritchard,0.412,6.2
15,Jrue Holiday,0.411,18.3
16,Grant Williams,0.411,7.8
17,Max Strus,0.41,10.6
18,Karl-Anthony Towns,0.41,24.6
19,Grayson Allen,0.409,11.1
20,Mike Conley,0.408,13.7
21,Anfernee Simons,0.405,17.3
22,Alec Burks,0.404,11.7
23,Georges Niang,0.403,9.2
24,Nicolas Batum,0.4,8.3
25,Patty Mills,0.4,11.4
26,Tyler Herro,0.399,20.7
27,Keldon Johnson,0.398,17
28,Pat Connaughton,0.395,9.9
29,Dorian Finney-Smith,0.395,11
30,Monte Morris,0.395,12.6
31,Harrison Barnes,0.394,16.4
32,Bobby Portis,0.393,14.6
33,Andrew Wiggins,0.393,17.2
34,Kevin Love,0.392,13.6
35,Gordon Hayward,0.391,15.9
36,Malik Monk,0.391,13.8
37,Avery Bradley,0.39,6.4
38,Kentavious Caldwell-Pope,0.39,13.2
39,Christian Wood,0.39,17.9
40,LaMelo Ball,0.389,20.1
41,Wayne Ellington,0.389,6.7
42,Evan Fournier,0.389,14.1
43,Kevin Huerter,0.389,12.1
44,Zach LaVine,0.389,24.4
45,Royce O'Neale,0.389,7.4
46,CJ McCollum,0.388,22.1
47,Bojan Bogdanović,0.387,18.1
48,Klay Thompson,0.385,20.4
49,Coby White,0.385,12.7
50,Gary Harris,0.384,11.1
51,Devin Booker,0.383,26.8
52,Kevin Durant,0.383,29.9
53,Darius Garland,0.383,21.7
54,Gary Trent Jr.,0.383,18.3
55,Trae Young,0.382,28.4
56,Mo Bamba,0.381,10.6
57,Danilo Gallinari,0.381,11.7
58,Stephen Curry,0.38,25.5
59,Danny Green,0.38,5.9
60,Amir Coffey,0.378,9
61,Robert Covington,0.378,8.5
62,Malik Beasley,0.377,12.1
63,Kyle Lowry,0.377,13.4
64,Fred VanVleet,0.377,20.3
65,Taurean Prince,0.376,7.3
66,Carmelo Anthony,0.375,13.3
67,Kevin Porter Jr.,0.375,15.6
68,De'Anthony Melton,0.374,10.8
69,Terry Rozier,0.374,19.3
70,Jalen Brunson,0.373,16.3
71,Khris Middleton,0.373,20.1
72,Duncan Robinson,0.372,10.9
73,Joel Embiid,0.371,30.6
74,Mikal Bridges,0.369,14.2
75,Chris Duarte,0.369,13.1
76,Bogdan Bogdanović,0.368,15.1
77,Landry Shamet,0.368,8.3
78,Gabe Vincent,0.368,8.7
79,Tobias Harris,0.367,17.2
80,Justin Holiday,0.367,10.1
81,Marcus Morris,0.367,15.4
82,Buddy Hield,0.366,15.6
83,Bones Hyland,0.366,10.1
84,Will Barton,0.365,14.7
85,P.J. Washington,0.365,10.3
86,Jordan Poole,0.364,18.5
87,OG Anunoby,0.363,17.1
88,Ben McLemore,0.362,10.2
89,Devin Vassell,0.361,12.3
90,Reggie Bullock,0.36,8.6
91,Tre Mann,0.36,10.4
92,Garrison Mathews,0.36,10
93,LeBron James,0.359,30.3
94,Jaylen Brown,0.358,23.6
95,Jerami Grant,0.358,19.2
96,Lauri Markkanen,0.358,14.8
97,Anthony Edwards,0.357,21.3
98,Cedi Osman,0.357,10.7
99,Donovan Mitchell,0.355,25.9
100,Paul George,0.354,24.3
101,Franz Wagner,0.354,15.2
102,Luka Dončić,0.353,28.4
103,Jayson Tatum,0.353,26.9
104,Oshae Brissett,0.35,9.1
105,Corey Kispert,0.35,8.2
106,Jae Crowder,0.348,9.4
107,Saddiq Bey,0.346,16.1
108,Immanuel Quickley,0.346,11.3
109,Kelly Oubre Jr.,0.345,15
110,Ja Morant,0.344,27.4
111,Dennis Schröder,0.344,13.5
112,Patrick Beverley,0.343,9.2
113,Jalen Green,0.343,17.3
114,RJ Barrett,0.342,20
115,Devonte' Graham,0.341,11.9
116,Kyle Kuzma,0.341,17.1
117,D'Angelo Russell,0.34,18.1
118,Spencer Dinwiddie,0.339,13.7
119,Cole Anthony,0.338,16.3
120,Nikola Jokić,0.337,27.1
121,Tim Hardaway Jr.,0.336,14.2
122,Al Horford,0.336,10.2
123,Aaron Gordon,0.335,15
124,Luguentz Dort,0.332,17.2
125,Miles Bridges,0.331,20.2
126,Marcus Smart,0.331,12.1
127,James Harden,0.33,22
128,Dejounte Murray,0.327,21.1
129,Reggie Jackson,0.326,16.8
130,Maxi Kleber,0.325,7
131,Damian Lillard,0.324,24
132,Caris LeVert,0.32,17
133,Jaren Jackson Jr.,0.319,16.3
134,Jordan Clarkson,0.318,16
135,Chuma Okeke,0.318,8.6
136,Deni Avdija,0.317,8.4
137,Davion Mitchell,0.316,11.5
138,Cade Cunningham,0.314,17.4
139,Nikola Vučević,0.314,17.6
140,Lonnie Walker IV,0.314,12.1
141,Derrick White,0.312,13.2
142,Nickeil Alexander-Walker,0.311,10.6
143,Frank Jackson,0.308,10.6
144,Julius Randle,0.308,20.1
145,Shai Gilgeous-Alexander,0.3,24.5
